Date,Close/Last,Volume,Open,High,Low
10/15/2019,$156.10,189586,$155.41,$157.19,$155.37
10/14/2019,$154.77,224046,$154.31,$155.22,$154.09
10/11/2019,$153.32,410991,$152.06,$154.62,$151.99
10/10/2019,$150.15,230725,$148.11,$150.60,$148.00
10/09/2019,$149.30,130626,$149.11,$149.85,$148.54
10/08/2019,$147.54,210547,$148.98,$149.20,$147.5185
10/07/2019,$149.79,196791,$148.95,$150.56,$148.90
10/04/2019,$149.56,314688,$149.85,$150.07,$149.31
10/03/2019,$149.44,405799,$147.12,$149.44,$145.44
10/02/2019,$146.90,829579,$148.03,$148.34,$145.93
10/01/2019,$151.96,402642,$154.07,$154.55,$151.40
09/30/2019,$154.09,626875,$153.36,$154.67,$153.13
09/27/2019,$152.12,304483,$153.15,$153.57,$151.08
09/26/2019,$151.48,226513,$152.00,$152.24,$150.92
09/25/2019,$150.35,745322,$148.66,$150.58,$147.67
09/24/2019,$150.66,262183,$151.69,$151.99,$150.26
09/23/2019,$152.77,466835,$151.05,$153.17,$151.05
09/20/2019,$152.08,692054,$152.74,$153.0286,$151.42
09/19/2019,$153.62,256821,$154.48,$154.81,$153.62
09/18/2019,$154.78,602682,$153.85,$154.99,$153.02
09/17/2019,$153.96,451897,$151.65,$154.13,$151.50
09/16/2019,$150.96,452687,$151.50,$152.06,$150.70
09/13/2019,$152.60,565659,$154.03,$154.30,$152.58
09/12/2019,$154.44,569561,$152.55,$155.39,$152.39
09/11/2019,$151.55,751025,$152.75,$153.88,$151.05
09/10/2019,$151.04,1652261,$154.20,$154.69,$149.63
09/09/2019,$160.74,418770,$164.48,$164.48,$160.39
09/06/2019,$163.11,279042,$163.95,$164.38,$162.90
09/05/2019,$161.88,502596,$163.05,$163.35,$161.48
09/04/2019,$159.99,453978,$160.50,$161.20,$159.84
09/03/2019,$158.01,398978,$158.71,$159.29,$157.62
08/30/2019,$157.75,407496,$158.34,$159.34,$157.01
08/29/2019,$158.22,298872,$159.34,$159.52,$158.17
08/28/2019,$157.65,512015,$157.54,$158.975,$156.45
08/27/2019,$160.39,385916,$159.72,$161.05,$159.26
08/26/2019,$156.60,489982,$155.98,$156.96,$154.53
08/23/2019,$153.22,731699,$154.01,$155.65,$152.92
08/22/2019,$155.11,191907,$156.05,$156.20,$154.45
08/21/2019,$156.49,455074,$157.22,$157.61,$156.35
08/20/2019,$155.03,655803,$155.07,$155.82,$154.53
08/19/2019,$156.18,332350,$157.00,$157.45,$156.13
08/16/2019,$155.83,447749,$154.13,$156.69,$154.13
08/15/2019,$155.32,316216,$155.71,$156.12,$154.09
08/14/2019,$155.90,425797,$159.00,$159.61,$155.08
08/13/2019,$160.82,264817,$158.53,$161.51,$158.21
08/12/2019,$158.03,182387,$158.14,$159.62,$157.58
08/09/2019,$158.87,437351,$159.08,$159.52,$156.735
08/08/2019,$160.10,332368,$158.58,$160.83,$158.21
08/07/2019,$158.11,393950,$155.35,$158.33,$155.08
08/06/2019,$156.59,537916,$157.00,$157.58,$154.58
